#@RPOL@[ANGLE=] 2
# Note: first line starting with "#@RPOL@" is required for automatic 
# 1-D/2-D interpolation and table format switching (default is 1-D).
# The string in brackets identifies how the row with angle values, y,
# (in degrees) has to start, wavelengths being the leading x column.
#
# Angle-dependent reflectivity for ASTRI mirrors.
# Contributed by Giorgia Sironi, 2018-01-17.
#
# Wavelenght[]  0deg    10deg   20deg   30deg   40deg   50deg   60deg   70deg   80deg
#
ANGLE=     0              10              20              30              40              50              60              70              80
#
# x[i]  z[0][i]         z[1][i]         .... 
#
336     0.9648439       0.9652121       0.9660729       0.9667744       0.966395        0.9637163       0.9566891       0.9402393       0.8943834
337     0.9649947       0.9653504       0.9661776       0.9668324       0.9663994       0.9636579       0.9565399       0.9398907       0.8930136
338     0.9651376       0.9654812       0.9662756       0.9668847       0.9663989       0.9635954       0.9563877       0.939545        0.8916981
339     0.9652729       0.9656046       0.966367        0.9669313       0.9663937       0.9635289       0.9562328       0.9392024       0.8904411
340     0.965401        0.9657212       0.9664522       0.9669726       0.9663839       0.9634586       0.9560753       0.9388633       0.8892465
341     0.9655277       0.9658367       0.9665372       0.9670147       0.966376        0.9633916       0.9559241       0.9385407       0.8881471
342     0.9656476       0.9659455       0.9666161       0.9670516       0.9663637       0.9633208       0.9557703       0.9382217       0.887116
343     0.9657606       0.9660479       0.9666892       0.9670835       0.966347        0.9632463       0.955614        0.9379065       0.8861562
344     0.9658671       0.9661439       0.9667566       0.9671104       0.966326        0.9631681       0.9554553       0.9375953       0.8852705
345     0.9659796       0.966246        0.9668304       0.967144        0.9663125       0.9630986       0.9553086       0.9373072       0.8844922
346     0.9660938       0.96635         0.9669064       0.9671805       0.9663024       0.9630337       0.9551689       0.937036        0.8838144
347     0.9662017       0.9664478       0.9669768       0.9672121       0.966288        0.9629651       0.955027        0.9367693       0.8832187
348     0.9663033       0.9665396       0.9670418       0.9672389       0.9662695       0.9628929       0.9548826       0.9365072       0.8827062
349     0.9663988       0.9666256       0.9671015       0.967261        0.9662469       0.9628172       0.954736        0.9362499       0.882278
350     0.9664912       0.9667085       0.9671586       0.9672812       0.966223        0.9627409       0.9545906       0.9360021       0.8819427
351     0.9665821       0.9667903       0.9672152       0.9673017       0.9662005       0.9626675       0.9544513       0.9357709       0.8817083
352     0.9666674       0.9668666       0.9672668       0.9673178       0.9661741       0.9625908       0.9543099       0.9355446       0.8815554
353     0.9667473       0.9669377       0.9673136       0.9673297       0.966144        0.9625108       0.9541664       0.9353233       0.8814833
354     0.9668219       0.9670036       0.9673557       0.9673374       0.9661101       0.9624276       0.9540209       0.935107        0.881491
