# LST mirror reflectivity curve, from Koji Noda, 2018-03-15.
# Sorted in ascending order (KB), scaled from percentage to absolute numbers.
# wavelength[nm]	reflectivity[%]	1sigma[%]	
389	 0.953697 0.922973
389.5	 0.953612 0.92389
390	 0.953596 0.923947
390.5	 0.953439 0.925891
391	 0.953562 0.930824
391.5	 0.953455 0.936762
392	  0.95361 0.932919
392.5	 0.953751 0.933027
393	  0.95375 0.933793
393.5	  0.95377 0.931046
394	 0.953825 0.929682
394.5	 0.953932 0.926687
395	 0.953894 0.924304
395.5	 0.953836 0.923193
396	 0.953638 0.927053
396.5	 0.953666 0.925019
397	 0.953921 0.926113
397.5	 0.954059 0.925764
398	 0.952238 0.771593
398.5	 0.952337 0.776256
399	 0.952422 0.776936
399.5	 0.952497 0.779099
400	 0.952609 0.77916
400.5	 0.952557 0.775985
401	 0.952348 0.776151
401.5	 0.952342 0.772801
402	 0.952431 0.767224
402.5	 0.952312 0.764596
403	 0.952185 0.761124
403.5	 0.952221 0.763676
404	  0.95226 0.767156
404.5	 0.952461 0.76877
405	  0.95244 0.769939
405.5	  0.95259 0.773315
406	 0.952641 0.773264
406.5	 0.952467 0.774778
407	 0.952248 0.775634
407.5	 0.952184 0.774718
408	 0.952107 0.774688
408.5	 0.951886 0.774236
409	 0.951805 0.775105
409.5	 0.951968 0.774335
410	 0.952175 0.774228
410.5	 0.952119 0.769923
411	 0.952054 0.768579
411.5	 0.952094 0.771495
412	 0.952132 0.771457
412.5	 0.951955 0.767334
413	 0.952046 0.764297
413.5	 0.952028 0.769239
414	 0.951967 0.766313
414.5	  0.95221 0.763232
415	 0.952204 0.763096
415.5	 0.952092 0.766361
416	 0.952144 0.768984
416.5	 0.952062 0.768434
417	 0.952151 0.768087
417.5	 0.952122 0.773484
418	 0.951842 0.769913
418.5	 0.951734 0.769376
419	 0.951757 0.772071
419.5	 0.951526 0.77611
420	 0.951432 0.776632
420.5	 0.951528 0.774789
421	 0.951521 0.771409
421.5	  0.95139 0.773378
422	 0.951217 0.776074
422.5	  0.95111 0.773784
423	 0.950988 0.775216
423.5	 0.950823 0.776843
424	 0.952694 0.963803
424.5	 0.952715 0.962705
425	 0.952707 0.96208
425.5	 0.952702 0.960633
426	 0.952869 0.960336
426.5	 0.952903 0.956453
427	 0.952982 0.954065
427.5	  0.95292 0.953505
428	 0.952842 0.952487
428.5	 0.952797 0.953755
429	 0.952592 0.954395
429.5	 0.952357 0.955965
430	 0.952342 0.959598
430.5	 0.952281 0.962278
431	   0.9521 0.963235
431.5	 0.951958 0.962482
432	 0.951911 0.962337
432.5	 0.951792 0.96458
433	  0.95155 0.96496
433.5	 0.951496 0.966143
434	 0.951554 0.964514
434.5	 0.951572 0.968909
435	 0.951657 0.969775
435.5	  0.95175 0.969538
436	 0.951706 0.969739
436.5	 0.951583 0.970552
437	 0.951476 0.968451
437.5	 0.951426 0.966326
438	 0.951101 0.965095
438.5	 0.950777 0.967302
439	 0.950653 0.967872
439.5	 0.950618 0.968126
440	 0.950544 0.969553
440.5	 0.950361 0.971435
441	 0.950474 0.97394
441.5	 0.950451 0.97484
442	 0.950625 0.974484
442.5	 0.950575 0.975658
443	 0.950573 0.97643
443.5	 0.950521 0.976435
444	 0.950464 0.974328
444.5	 0.950362 0.975834
445	 0.950293 0.973374
445.5	 0.950132 0.971669
446	 0.950005 0.971326
446.5	 0.950051 0.97114
447	 0.950016 0.971837
447.5	 0.949925 0.973527
448	  0.94971 0.9766
448.5	 0.949642 0.974988
449	 0.949561 0.976021
449.5	 0.949479 0.977602
450	 0.949281 0.979667
450.5	 0.949314 0.981875
451	 0.949084 0.982183
451.5	 0.949104 0.984088
452	 0.949038 0.987164
452.5	 0.948961 0.986049
453	 0.948908 0.986365
453.5	 0.948755 0.987936
454	 0.948732 0.987465
454.5	 0.948689 0.990635
455	 0.948582 0.987085
455.5	 0.948456 0.985912
456	 0.948374 0.986465
456.5	 0.948253 0.98593
457	 0.948211 0.987216
457.5	 0.947959 0.984869
458	 0.947975 0.987421
458.5	 0.947774 0.988899
459	 0.947508 0.991298
459.5	 0.947175 0.991478
460	 0.947035 0.99329
460.5	   0.9469 0.993167
461	 0.946673 0.992107
461.5	 0.946426 0.990719
462	 0.946441 0.99265
462.5	 0.946328 0.994948
463	 0.946155 0.995711
463.5	 0.945976 0.993362
464	 0.945833 0.997011
464.5	 0.945727 0.999333
465	 0.945402 1.00066
465.5	  0.94535 1.00059
466	   0.9451 1.00351
466.5	 0.945042 1.00415
467	 0.944806 1.00719
467.5	 0.944715 1.00794
468	 0.944664 1.00799
468.5	 0.944376 1.01064
469	 0.944291 1.01307
469.5	 0.944251 1.01549
470	 0.943948 1.01652
470.5	 0.943834 1.01821
471	 0.943522 1.01807
471.5	 0.943386 1.02007
472	 0.943208 1.01803
472.5	 0.943146 1.01717
473	 0.943036 1.01452
473.5	 0.942913 1.01476
474	 0.942942 1.01354
474.5	 0.942954 1.01389
475	 0.942696 1.01627
475.5	 0.942483 1.01823
476	 0.942311 1.02149
476.5	  0.94211 1.02283
477	 0.941941 1.02482
477.5	 0.941693 1.02628
478	  0.94149 1.0261
478.5	 0.941372 1.02478
479	 0.941252 1.02308
479.5	  0.94084 1.02374
480	 0.940564 1.02641
480.5	 0.940294 1.02646
481	 0.940152 1.02626
481.5	  0.93977 1.02865
482	 0.939654 1.03099
482.5	 0.939486 1.03169
483	 0.939515 1.03192
483.5	 0.939403 1.03434
484	 0.939161 1.0353
484.5	 0.939141 1.03483
485	 0.939105 1.0339
485.5	 0.938995 1.03549
486	 0.938906 1.03875
486.5	 0.938762 1.03805
487	 0.938662 1.03675
487.5	 0.938455 1.04003
488	 0.938293 1.04154
488.5	  0.93813 1.04336
489	 0.937938 1.04122
489.5	 0.937821 1.04154
490	 0.937706 1.04358
490.5	 0.937534 1.04247
491	 0.937331 1.0437
491.5	 0.937237 1.0446
492	 0.936981 1.04414
492.5	 0.936769 1.04572
493	 0.936645 1.04495
493.5	 0.936538 1.04701
494	 0.936372 1.04604
494.5	 0.936157 1.04687
495	 0.935979 1.04768
495.5	 0.935853 1.04981
496	 0.935652 1.04907
496.5	 0.935402 1.04902
497	 0.935287 1.05284
497.5	  0.93517 1.0564
498	  0.93511 1.058
498.5	 0.934873 1.05893
499	 0.934672 1.06235
499.5	 0.934491 1.06332
500	 0.934291 1.06375
500.5	 0.934008 1.06008
501	 0.933701 1.05973
501.5	 0.933465 1.06027
502	 0.933321 1.05956
502.5	 0.933036 1.05756
503	 0.932648 1.05951
503.5	 0.932521 1.05956
504	 0.932258 1.06075
504.5	 0.932183 1.06279
505	 0.931959 1.06397
505.5	 0.931843 1.06675
506	 0.931587 1.07116
506.5	 0.931429 1.06949
507	 0.931291 1.07058
507.5	 0.931086 1.0728
508	 0.930727 1.07208
508.5	 0.930549 1.07279
509	 0.930472 1.07013
509.5	 0.930323 1.07021
510	 0.930139 1.07503
510.5	  0.93003 1.07504
511	 0.929891 1.07349
511.5	   0.9297 1.07423
512	 0.929502 1.07364
512.5	 0.929164 1.07495
513	 0.928942 1.07187
513.5	 0.928653 1.07104
514	 0.928404 1.06882
514.5	 0.928211 1.06894
515	 0.928039 1.06952
515.5	 0.927859 1.07056
516	  0.92775 1.07271
516.5	 0.927485 1.07216
517	 0.927367 1.07582
517.5	 0.927134 1.07926
518	 0.926857 1.08141
518.5	 0.926462 1.08274
519	 0.926227 1.08419
519.5	 0.926159 1.08405
520	 0.925838 1.08227
520.5	 0.925408 1.09416
521	  0.92511 1.09359
521.5	 0.924759 1.08942
522	 0.924605 1.09157
522.5	 0.924261 1.09067
523	 0.923964 1.09061
523.5	 0.923684 1.09094
524	 0.923486 1.09045
524.5	 0.923437 1.09343
525	 0.923248 1.09479
525.5	 0.923007 1.09387
526	  0.92284 1.09253
526.5	 0.922637 1.09568
527	 0.922374 1.09922
527.5	 0.922143 1.09914
